,id,name,position,team,status,now_cost,total_points,selected_by_percent,news,minutes,starts,points_per_game,goals_scored,expected_goals,expected_goals_per_90,expected_goal_involvements,expected_goal_involvements_per_90,goals_conceded,goals_conceded_per_90,expected_goals_conceded,expected_goals_conceded_per_90,assists,expected_assists,expected_assists_per_90,yellow_cards,saves,saves_per_90,clean_sheets,clean_sheets_per_90,bonus,form,threat,creativity,influence,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order
1,2,Cédric Alves Soares,DEF,Arsenal,a,3.8,3,0.5,,59,0,1.0,0,0.0,0.0,0.02,0.03,0,0.0,0.39,0.59,0,0.02,0.03,0,0,0.0,0,0.0,0,0.0,0.0,4.3,2.0,,,
2,3,Mohamed Elneny,MID,Arsenal,a,4.4,6,0.1,,25,0,2.0,0,0.08,0.29,0.09,0.33,0,0.0,0.13,0.47,1,0.01,0.04,0,0,0.0,0,0.0,0,0.0,10.0,2.1,4.0,,,
3,4,Fábio Ferreira Vieira,MID,Arsenal,a,5.4,24,0.1,,290,2,2.2,1,1.25,0.39,1.89,0.59,2,0.62,1.83,0.57,3,0.64,0.2,0,0,0.0,1,0.31,0,0.0,85.0,88.8,82.8,4.0,,
4,5,Gabriel dos Santos Magalhães,DEF,Arsenal,a,5.4,149,28.3,,3042,34,4.1,3,4.48,0.13,5.13,0.15,26,0.77,26.18,0.77,1,0.65,0.02,4,0,0.0,16,0.47,8,4.0,379.0,121.9,675.8,,,
5,6,Kai Havertz,MID,Arsenal,a,7.6,180,11.9,,2627,30,4.9,13,12.36,0.42,16.23,0.55,22,0.75,21.03,0.72,10,3.88,0.13,11,0,0.0,16,0.55,15,6.0,1027.0,613.4,763.2,3.0,,
6,8,Gabriel Fernando de Jesus,FWD,Arsenal,a,7.7,85,2.6,,1470,17,3.1,4,6.27,0.38,9.53,0.58,11,0.67,11.67,0.71,7,3.26,0.2,6,0,0.0,11,0.67,10,1.0,756.0,403.0,364.8,,,
7,9,Jorge Luiz Frello Filho,MID,Arsenal,a,5.3,44,0.2,,913,10,1.8,0,0.1,0.01,1.87,0.18,11,1.08,8.42,0.83,2,1.77,0.17,1,0,0.0,4,0.39,1,0.5,16.0,187.8,165.4,,,
8,10,Jakub Kiwior,DEF,Arsenal,a,4.0,67,0.6,,942,11,3.4,1,0.74,0.07,1.34,0.13,8,0.76,5.15,0.49,3,0.6,0.06,1,0,0.0,6,0.57,1,0.5,90.0,106.9,228.8,,,
10,12,Gabriel Martinelli Silva,MID,Arsenal,a,7.5,118,4.2,,2010,24,3.4,6,6.36,0.28,11.53,0.51,23,1.03,14.88,0.67,5,5.18,0.23,1,0,0.0,10,0.45,6,1.5,795.0,717.1,500.4,,,
11,13,Eddie Nketiah,FWD,Arsenal,a,5.0,71,3.1,,1065,10,2.6,5,4.65,0.39,5.18,0.43,10,0.85,10.21,0.86,4,0.53,0.04,3,0,0.0,6,0.51,5,0.0,417.0,136.3,235.0,,,
12,14,Martin Ødegaard,MID,Arsenal,a,8.6,186,18.0,,3098,35,5.3,8,7.53,0.22,17.69,0.52,23,0.67,25.26,0.73,11,10.16,0.3,2,0,0.0,19,0.55,26,6.5,757.0,1499.4,910.4,2.0,1.0,3.0
13,15,Thomas Partey,MID,Arsenal,a,4.8,24,0.1,,785,9,1.7,0,0.43,0.05,1.01,0.12,5,0.57,8.45,0.97,0,0.58,0.07,3,0,0.0,5,0.57,0,2.0,37.0,122.9,117.6,,,
15,17,Aaron Ramsdale,GKP,Arsenal,a,4.5,20,5.4,,540,6,3.3,0,0.0,0.0,0.01,0.0,5,0.83,5.81,0.97,0,0.01,0.0,0,9,1.5,2,0.33,0,0.0,0.0,0.0,73.2,,,
17,19,Bukayo Saka,MID,Arsenal,d,8.8,226,49.2,Knock - 75% chance of playing,2922,35,6.5,16,15.4,0.47,26.29,0.81,27,0.83,25.66,0.79,12,10.9,0.34,4,0,0.0,16,0.49,29,1.0,1342.0,1319.8,1093.8,1.0,,1.0
18,20,William Saliba,DEF,Arsenal,a,5.9,164,39.1,,3420,38,4.3,2,1.7,0.04,2.6,0.06,29,0.76,28.32,0.75,1,0.9,0.02,4,0,0.0,18,0.47,13,5.5,140.0,152.1,697.2,,,
19,22,Emile Smith Rowe,MID,Arsenal,a,5.3,25,0.1,,343,3,1.9,0,1.86,0.49,2.26,0.59,3,0.79,2.1,0.55,2,0.4,0.1,0,0,0.0,3,0.79,0,0.5,128.0,72.2,62.4,,,
21,25,Takehiro Tomiyasu,DEF,Arsenal,a,4.5,70,0.5,,1140,10,3.2,2,1.74,0.14,2.42,0.19,10,0.79,14.03,1.11,1,0.68,0.05,0,0,0.0,6,0.47,4,7.5,143.0,141.8,247.0,,,
22,26,Leandro Trossard,MID,Arsenal,a,6.6,138,3.6,,1633,18,4.1,12,8.29,0.46,11.25,0.62,10,0.55,13.46,0.74,2,2.96,0.16,2,0,0.0,12,0.66,11,6.5,746.0,384.7,563.6,,,
23,29,Benjamin White,DEF,Arsenal,a,6.1,182,23.3,,2987,35,4.9,4,1.27,0.04,4.93,0.15,26,0.78,24.95,0.75,5,3.66,0.11,8,0,0.0,18,0.54,14,4.0,234.0,589.4,765.8,,,
25,31,Oleksandr Zinchenko,DEF,Arsenal,a,5.0,104,5.1,,1717,20,3.9,1,0.6,0.03,3.25,0.17,15,0.79,12.33,0.65,2,2.65,0.14,2,0,0.0,9,0.47,16,0.5,133.0,474.8,395.4,,,
26,113,David Raya Martin,GKP,Arsenal,a,5.3,135,11.7,,2880,32,4.2,0,0.0,0.0,0.04,0.0,24,0.75,22.51,0.7,0,0.04,0.0,2,46,1.44,16,0.5,6,3.5,0.0,0.0,413.0,,,
27,540,Declan Rice,MID,Arsenal,a,5.5,165,6.2,,3225,37,4.3,7,3.53,0.1,8.62,0.24,28,0.78,27.08,0.76,9,5.09,0.14,5,0,0.0,17,0.47,17,2.0,451.0,745.3,959.4,,2.0,2.0
